data;u
1995-1;2718,522758
1995-2;2641,182218
1995-3;2748,085162
1995-4;2664,911365
1996-1;2627,910054
1996-2;2570,603908
1996-3;2456,477399
1996-4;2365,301476
1997-1;2198,378194
1997-2;2073,10444
1997-3;1976,369236
1997-4;1846,976151
1998-1;1774,629521
1998-2;1727,064318
1998-3;1733,837406
1998-4;1794,061177
1999-1;2010,646912
1999-2;2104,147216
1999-3;2206,775098
1999-4;2301,131012
2000-1;2394,982066
2000-2;2473,659003
2000-3;2566,362793
2000-4;2657,513226
2001-1;2748,682016
2001-2;2875,611613
2001-3;2964,592186
2001-4;3062,782395
2002-1;3133,836747
2002-2;3140,345983
2002-3;3181,582294
2002-4;3199,10253
2003-1;3194,817412
2003-2;3196,342319
2003-3;3172,02638
2003-4;3157,648809
2004-1;3151,110431
2004-2;3124,859504
2004-3;3076,177178
2004-4;3009,752681
2005-1;2948,510589
2005-2;2899,561586
2005-3;2853,977934
2005-4;2782,750484
2006-1;2717,094771
2006-2;2608,674195
2006-3;2478,066419
2006-4;2343,109333
2007-1;2175,087434
2007-2;2012,126517
2007-3;1894,786387
2007-4;1774,523914
2008-1;1624,340168
2008-2;1538,046617
2008-3;1485,718195
2008-4;1464,612543
2009-1;1557,497827
2009-2;1690,175888
2009-3;1784,977263
2009-4;1870,779568
2010-1;1918,767735
2010-2;1913,225069
2010-3;1911,683469
2010-4;1932,404833
2011-1;1967,419838
2011-2;1966,188311
2011-3;1962,550726
2011-4;1974,609973
2012-1;1987,609704
2012-2;2022,258818
2012-3;2063,959314
2012-4;2111,312813
2013-1;2166,738034
2013-2;2187,910681
2013-3;2176,931927
2013-4;2159,343555
2014-1;2094,712751
2014-2;2002,503142
2014-3;1932,768417
2014-4;1843,876701
2015-1;1774,840356
2015-2;1710,667917
2015-3;1632,981576
2015-4;1573,796434
2016-1;1525,761659
2016-2;1466,263435
2016-3;1400,326078
2016-4;1350,054254
2017-1;1278,778211
2017-2;1213,383945
2017-3;1173,112411
2017-4;1098,925496
2018-1;1044,191607
2018-2;1016,122328
2018-3;989,3208997
2018-4;974,2020901
2019-1;945,5312748
2019-2;916,7657042
2019-3;888,3109414
2019-4;873,6249422
2020-1;865,4076976
2020-2;1009,013625
2020-3;1047,994139
2020-4;1050,627878
2021-1;1043,18513
2021-2;1028,116802
2021-3;976,6793356
2021-4;922,3921485
2022-1;874,5775251
2022-2;851,7948697
2022-3;826,807727
2022-4;821,3024023
2023-1;813,1836426
2023-2;807,0986909
2023-3;801,1088028
2023-4;794,7367654
2024-1;790,8763223
2024-2;785,1226549
2024-3;789,9213442
