date;exogenous;variable;value
2020-01-01;vacancies;gp;0,008922209157232297
2020-01-01;vacancies;gw;1,107927049247925622
2020-01-01;catch_up;gp;0,002735987086127878
2020-01-01;catch_up;gw;-0,059427446488700575
2020-01-01;energy prices;gp;0,107764857412205872
2020-01-01;energy prices;gw;0,041904255862951878
2020-01-01;food prices;gp;0,650694815497678936
2020-01-01;food prices;gw;0,067232844141466686
2020-01-01;shortages;gp;0,066139921367706966
2020-01-01;shortages;gw;0,020954834939773459
2020-01-01;initial conditions;gp;0,023199206781900017
2020-01-01;initial conditions;gw;0,258199322845817258
2020-04-01;vacancies;gp;0,011228008775515885
2020-04-01;vacancies;gw;1,228877322543746375
2020-04-01;catch_up;gp;-0,000324775477865857
2020-04-01;catch_up;gw;-0,022299405863452471
2020-04-01;energy prices;gp;-0,587327995001924341
2020-04-01;energy prices;gw;0,050343264635839713
2020-04-01;food prices;gp;0,155154152713216420
2020-04-01;food prices;gw;0,227615628772252165
2020-04-01;shortages;gp;0,085147473099446258
2020-04-01;shortages;gw;0,029191453283921254
2020-04-01;initial conditions;gp;-0,005426066303451882
2020-04-01;initial conditions;gw;0,040731412764695385
2020-07-01;vacancies;gp;0,017661194845487838
2020-07-01;vacancies;gw;0,760945275722450853
2020-07-01;catch_up;gp;-0,002543870107372337
2020-07-01;catch_up;gw;0,254038310415554580
2020-07-01;energy prices;gp;0,242255825461116514
2020-07-01;energy prices;gw;-0,156630738043712192
2020-07-01;food prices;gp;-0,299176421828058592
2020-07-01;food prices;gw;0,104958008725945517
2020-07-01;shortages;gp;0,133740309576133781
2020-07-01;shortages;gw;0,027086739007793570
2020-07-01;initial conditions;gp;0,011469061972122774
2020-07-01;initial conditions;gw;-0,132851682073336863
2020-10-01;vacancies;gp;0,003400834113922668
2020-10-01;vacancies;gw;1,646696194412409220
2020-10-01;catch_up;gp;0,002236396856968303
2020-10-01;catch_up;gw;0,212424762546256751
2020-10-01;energy prices;gp;0,193478971468125899
2020-10-01;energy prices;gw;-0,010878332489274722
2020-10-01;food prices;gp;-0,269001569129851237
2020-10-01;food prices;gw;-0,099827434400105552
2020-10-01;shortages;gp;0,083746054551288432
2020-10-01;shortages;gw;0,043223219752946074
2020-10-01;initial conditions;gp;0,000309316956277436
2020-10-01;initial conditions;gw;-0,100939154222347227
2021-01-01;vacancies;gp;0,019656758752079506
2021-01-01;vacancies;gw;1,227504264489448493
2021-01-01;catch_up;gp;0,002664618351244874
2021-01-01;catch_up;gw;0,185941501740904069
2021-01-01;energy prices;gp;1,014372228903671402
2021-01-01;energy prices;gw;0,087893112209847857
2021-01-01;food prices;gp;0,649962048884538124
2021-01-01;food prices;gw;-0,160516312401299599
2021-01-01;shortages;gp;0,043564581860872753
2021-01-01;shortages;gw;0,029141845805916056
2021-01-01;initial conditions;gp;0,006733114123244066
2021-01-01;initial conditions;gw;-0,134297855489538431
2021-04-01;vacancies;gp;0,013176094147358430
2021-04-01;vacancies;gw;1,507146964716506776
2021-04-01;catch_up;gp;-0,000892775888754471
2021-04-01;catch_up;gw;0,572544743083130969
2021-04-01;energy prices;gp;0,356808525925560227
2021-04-01;energy prices;gw;0,384098427459996561
2021-04-01;food prices;gp;0,457162501554892020
2021-04-01;food prices;gw;0,160902682325191115
2021-04-01;shortages;gp;0,074333181202464127
2021-04-01;shortages;gw;0,011913866363681525
2021-04-01;initial conditions;gp;0,001198305358392271
2021-04-01;initial conditions;gw;-0,129707734389499452
2021-07-01;vacancies;gp;0,016346066892744204
2021-07-01;vacancies;gw;1,566118141142228470
2021-07-01;catch_up;gp;0,007171918389361931
2021-07-01;catch_up;gw;0,335735231512371390
2021-07-01;energy prices;gp;0,754610925051660941
2021-07-01;energy prices;gw;0,223181141056814081
2021-07-01;food prices;gp;0,516809080628880868
2021-07-01;food prices;gw;0,186129775201390846
2021-07-01;shortages;gp;0,196337002862476462
2021-07-01;shortages;gw;0,010209592858296368
2021-07-01;initial conditions;gp;-0,005464157108995948
2021-07-01;initial conditions;gw;-0,060076854923166723
2021-10-01;vacancies;gp;0,017250005496863619
2021-10-01;vacancies;gw;1,659122283084677685
2021-10-01;catch_up;gp;0,006729343093184070
2021-10-01;catch_up;gw;0,074833809812617780
2021-10-01;energy prices;gp;1,174770928315879148
2021-10-01;energy prices;gw;0,265004341790418207
2021-10-01;food prices;gp;1,017289853996515836
2021-10-01;food prices;gw;0,204322228834301844
2021-10-01;shortages;gp;0,262215336543931254
2021-10-01;shortages;gw;0,058813518567497169
2021-10-01;initial conditions;gp;-0,007513359371301931
2021-10-01;initial conditions;gw;-0,066186921960284417
2022-01-01;vacancies;gp;0,018233318307951940
2022-01-01;vacancies;gw;1,761044359218701949
2022-01-01;catch_up;gp;0,002116363139397226
2022-01-01;catch_up;gw;0,065161101395978971
2022-01-01;energy prices;gp;1,881328879884706540
2022-01-01;energy prices;gw;0,462950635042139513
2022-01-01;food prices;gp;0,879253678578539866
2022-01-01;food prices;gw;0,402889143379513204
2022-01-01;shortages;gp;0,382183389134653773
2022-01-01;shortages;gw;0,106995900692163914
2022-01-01;initial conditions;gp;-0,010413588671945861
2022-01-01;initial conditions;gw;-0,093702052095837818
2022-04-01;vacancies;gp;0,021914249320724721
2022-04-01;vacancies;gw;1,555533715452967813
2022-04-01;catch_up;gp;0,001649599442325567
2022-04-01;catch_up;gw;-0,009867690320213285
2022-04-01;energy prices;gp;1,946516530071420448
2022-04-01;energy prices;gw;0,768976106100337287
2022-04-01;food prices;gp;1,727176395331542658
2022-04-01;food prices;gw;0,401883202924391725
2022-04-01;shortages;gp;0,338221234129534754
2022-04-01;shortages;gw;0,169853504300371050
2022-04-01;initial conditions;gp;-0,019547558331621584
2022-04-01;initial conditions;gw;-0,093599943694136600
2022-07-01;vacancies;gp;0,021426131239827395
2022-07-01;vacancies;gw;1,261891042964413678
2022-07-01;catch_up;gp;-0,002430028797027362
2022-07-01;catch_up;gw;0,314438234446113185
2022-07-01;energy prices;gp;0,523573387326139894
2022-07-01;energy prices;gw;0,902801580764469147
2022-07-01;food prices;gp;2,062738487000097098
2022-07-01;food prices;gw;0,756012443751847396
2022-07-01;shortages;gp;0,436243544876535161
2022-07-01;shortages;gw;0,164912112869285199
2022-07-01;initial conditions;gp;-0,039548649606340636
2022-07-01;initial conditions;gw;-0,113028087918239262
2022-10-01;vacancies;gp;0,015837551365331493
2022-10-01;vacancies;gw;1,299555279280476983
2022-10-01;catch_up;gp;0,001930951063474406
2022-10-01;catch_up;gw;0,382185519972944476
2022-10-01;energy prices;gp;0,112937809982515791
2022-10-01;energy prices;gw;0,150386162543845181
2022-10-01;food prices;gp;1,767845070546532504
2022-10-01;food prices;gw;0,781679806461988314
2022-10-01;shortages;gp;0,408138419005533715
2022-10-01;shortages;gw;0,163252685190082403
2022-10-01;initial conditions;gp;-0,032941981944803578
2022-10-01;initial conditions;gw;0,026757054880881315
2023-01-01;vacancies;gp;0,016313270661969970
2023-01-01;vacancies;gw;1,188005200550554141
2023-01-01;catch_up;gp;-0,002038160268201583
2023-01-01;catch_up;gw;1,116165386698280804
2023-01-01;energy prices;gp;0,991695522534648433
2023-01-01;energy prices;gw;-0,239418339121686419
2023-01-01;food prices;gp;2,006064177446134522
2023-01-01;food prices;gw;0,596795380258371644
2023-01-01;shortages;gp;0,350040523211138321
2023-01-01;shortages;gw;0,126464734470953744
2023-01-01;initial conditions;gp;-0,024908885684625570
2023-01-01;initial conditions;gw;0,081220938262441145
2023-04-01;vacancies;gp;0,014126520356359362
2023-04-01;vacancies;gw;1,225995738907130317
2023-04-01;catch_up;gp;0,008337640580198147
2023-04-01;catch_up;gw;1,334644695634852773
2023-04-01;energy prices;gp;-0,249856527997156186
2023-04-01;energy prices;gw;0,046983675547054293
2023-04-01;food prices;gp;0,419193848113953771
2023-04-01;food prices;gw;0,663109645785997959
2023-04-01;shortages;gp;0,258706594196731809
2023-04-01;shortages;gw;0,104435549648097314
2023-04-01;initial conditions;gp;-0,019576081489175445
2023-04-01;initial conditions;gw;-0,024703577173655233
